title	closest neighbor(s)	description	perfect k-mer	imperfect k-mer	length difference
Uniq3195;size=1;	Uniq1068;size=2;	NOISY VARIANT	1	3	0
Uniq3754;size=1;	Uniq1068;size=2;	NOISY VARIANT	3	3	0
Uniq4031;size=1;	Uniq1068;size=2;	NOISY VARIANT	1	3	0
Uniq4344;size=1;	Uniq1068;size=2;	NOISY VARIANT	2	4	0
Uniq4680;size=1;	Uniq1068;size=2;	NOISY VARIANT	1	3	0
Uniq5175;size=1;	Uniq1068;size=2;	NOISY VARIANT	4	4	0
Uniq5197;size=1;	Uniq1068;size=2;	NOISY VARIANT	1	3	0
Uniq5473;size=1;	Uniq1068;size=2;	NOISY VARIANT	2	0	1
Uniq5775;size=1;	Uniq1068;size=2;	NOISY VARIANT	2	4	1
Uniq1068;size=2;	*	VARIANT	*	*	*
Uniq3260;size=1;	Uniq1098;size=2;	NOISY VARIANT	1	3	0
Uniq3304;size=1;	Uniq1098;size=2;	NOISY VARIANT	1	3	0
Uniq1098;size=2;	*	VARIANT	*	*	*
Uniq1918;size=1;	Uniq1115;size=2;	NOISY VARIANT	4	4	0
Uniq2479;size=1;	Uniq1115;size=2;	NOISY VARIANT	2	4	1
Uniq2653;size=1;	Uniq1115;size=2;	NOISY VARIANT	4	4	0
Uniq3147;size=1;	Uniq1115;size=2;	NOISY VARIANT	3	3	0
Uniq3312;size=1;	Uniq1115;size=2;	NOISY VARIANT	4	4	1
Uniq3512;size=1;	Uniq1115;size=2;	NOISY VARIANT	2	4	1
Uniq4832;size=1;	Uniq1115;size=2;	NOISY VARIANT	3	3	0
Uniq4870;size=1;	Uniq1115;size=2;	NOISY VARIANT	2	4	1
Uniq5234;size=1;	Uniq1115;size=2;	NOISY VARIANT	4	4	0
Uniq5315;size=1;	Uniq1115;size=2;	NOISY VARIANT	3	3	0
